# MOEAD - Hipervolumen promedio por generación
# gen	hv_mean	hv_std	hv_min	hv_max
1	3.4622124550e+00	1.9333025499e-01	3.0211753296e+00	3.6549399673e+00
2	3.8710825480e+00	2.3673237726e-01	3.4719296308e+00	4.2028907088e+00
3	4.1695508097e+00	2.1013538596e-01	3.7402105578e+00	4.4832064903e+00
4	4.4474681267e+00	1.9398687549e-01	4.1592761581e+00	4.7394802566e+00
5	4.6927040852e+00	1.1329758144e-01	4.5003512853e+00	4.8759614170e+00
6	4.8186727647e+00	1.5528069345e-01	4.5203941365e+00	5.0271041631e+00
7	4.9807288618e+00	1.7266750056e-01	4.6634459213e+00	5.1683225682e+00
8	5.0784403846e+00	1.4924731459e-01	4.8255023600e+00	5.3336762144e+00
9	5.1628995506e+00	1.8404620909e-01	4.8702459058e+00	5.4185150025e+00
10	5.2535337261e+00	1.9823840973e-01	4.8945726561e+00	5.4700916016e+00
11	5.2646918572e+00	2.1961166450e-01	4.9335753293e+00	5.5652678348e+00
12	5.3472200617e+00	2.2199699490e-01	5.0387621032e+00	5.7296210583e+00
13	5.4073843036e+00	2.2537664706e-01	5.0652090929e+00	5.7566431256e+00
14	5.4504766286e+00	2.1926208106e-01	5.1089500468e+00	5.7864435714e+00
15	5.4851225505e+00	2.2127402952e-01	5.1476123723e+00	5.8003009158e+00
16	5.5335062906e+00	2.1400044997e-01	5.1910706166e+00	5.8472758243e+00
17	5.5615887019e+00	2.1711469098e-01	5.1959445810e+00	5.8823084474e+00
18	5.5899648940e+00	2.1545639493e-01	5.2112591500e+00	5.8768544590e+00
19	5.6732068362e+00	2.5350560811e-01	5.2475820423e+00	5.9399557001e+00
20	5.6954531311e+00	2.5336841998e-01	5.2709246154e+00	5.9727185659e+00
21	5.7287257210e+00	2.4659000319e-01	5.2824530949e+00	5.9914810195e+00
22	5.7914293634e+00	2.1478736675e-01	5.2886024881e+00	6.0044550142e+00
23	5.8199372733e+00	2.0692693172e-01	5.3162148762e+00	6.0181618338e+00
24	5.8391254084e+00	2.1073768278e-01	5.3294405987e+00	6.0341851700e+00
25	5.8514506695e+00	2.1193622235e-01	5.3426005634e+00	6.0460011668e+00
26	5.8699862233e+00	2.0670190389e-01	5.3708670536e+00	6.0556328435e+00
27	5.8853952855e+00	2.1097592408e-01	5.3795801504e+00	6.0718717523e+00
28	5.9046460695e+00	1.9915181333e-01	5.4354581456e+00	6.0731193752e+00
29	5.9150281247e+00	2.0105213326e-01	5.4358085737e+00	6.0778637916e+00
30	5.9255406801e+00	2.0208584505e-01	5.4480418024e+00	6.0981996994e+00
31	5.9337029934e+00	2.0202202709e-01	5.4543942633e+00	6.1133014074e+00
32	5.9519503567e+00	1.9408820724e-01	5.4656968263e+00	6.1182693973e+00
33	5.9588865893e+00	1.9646109525e-01	5.4675758207e+00	6.1303242551e+00
34	5.9697612512e+00	1.9866880257e-01	5.4694269862e+00	6.1488446630e+00
35	5.9851166657e+00	1.7546850047e-01	5.5615789879e+00	6.1530913015e+00
36	6.0009023664e+00	1.8195248370e-01	5.5601647272e+00	6.1518915452e+00
37	6.0133449876e+00	1.8320306595e-01	5.5657862231e+00	6.1590681107e+00
38	6.0286824363e+00	1.8563425630e-01	5.5741813277e+00	6.1808435139e+00
39	6.0348335797e+00	1.8541869203e-01	5.5809412349e+00	6.1837454034e+00
40	6.0407327749e+00	1.8441704663e-01	5.5873849172e+00	6.1884464295e+00
41	6.0501344960e+00	1.8290146095e-01	5.5968710940e+00	6.2012725985e+00
42	6.0554514628e+00	1.8068574107e-01	5.6053835271e+00	6.1998721275e+00
43	6.0632598168e+00	1.7432232493e-01	5.6274640992e+00	6.2054495068e+00
44	6.0714902323e+00	1.6941809539e-01	5.6481531254e+00	6.2066484909e+00
45	6.1005533463e+00	1.7570707440e-01	5.6491606733e+00	6.2152960505e+00
46	6.1040676238e+00	1.7356416099e-01	5.6593077095e+00	6.2182854336e+00
47	6.1072886088e+00	1.7374749798e-01	5.6597627027e+00	6.2246784084e+00
48	6.1157169335e+00	1.6631021882e-01	5.6917672787e+00	6.2412526564e+00
49	6.1460133538e+00	1.6737232217e-01	5.6972919263e+00	6.2599520040e+00
50	6.1505385119e+00	1.6796190068e-01	5.6994512568e+00	6.2643782175e+00
51	6.1531825346e+00	1.6841833794e-01	5.7018997712e+00	6.2654382659e+00
52	6.1570401398e+00	1.6848568294e-01	5.7071077647e+00	6.2695415686e+00
53	6.1621544638e+00	1.6935140013e-01	5.7073915381e+00	6.2824229088e+00
54	6.1644846801e+00	1.7047559151e-01	5.7074595323e+00	6.2908008431e+00
55	6.1679711073e+00	1.6281631074e-01	5.7348701409e+00	6.2935884537e+00
56	6.1716080695e+00	1.6527512908e-01	5.7355871166e+00	6.3149050221e+00
57	6.1742452552e+00	1.6664929496e-01	5.7357872078e+00	6.3252117081e+00
58	6.1824713194e+00	1.5563100585e-01	5.7810215192e+00	6.3281445567e+00
59	6.1854129732e+00	1.5428502113e-01	5.7902392782e+00	6.3353799997e+00
60	6.1861370398e+00	1.5672590297e-01	5.7848523471e+00	6.3395324256e+00
61	6.1869746185e+00	1.5714510705e-01	5.7849421120e+00	6.3419840863e+00
62	6.1879435283e+00	1.5748923233e-01	5.7863088689e+00	6.3452819022e+00
63	6.1930247837e+00	1.4719947123e-01	5.8243916114e+00	6.3505864064e+00
64	6.1951278730e+00	1.4783502717e-01	5.8249728826e+00	6.3508119268e+00
65	6.1976512260e+00	1.4812982998e-01	5.8250100126e+00	6.3527936269e+00
66	6.1986217934e+00	1.4828438689e-01	5.8251165156e+00	6.3538734385e+00
67	6.2043666865e+00	1.4721960084e-01	5.8252174081e+00	6.3541188765e+00
68	6.2051905284e+00	1.4737650085e-01	5.8256780185e+00	6.3545708967e+00
69	6.2065617024e+00	1.4733737131e-01	5.8257129115e+00	6.3549650575e+00
70	6.2078125532e+00	1.4829537616e-01	5.8258201102e+00	6.3623623329e+00
71	6.2083557239e+00	1.4840322129e-01	5.8258503736e+00	6.3635911471e+00
72	6.2088988406e+00	1.4874738270e-01	5.8259950029e+00	6.3657001508e+00
73	6.2196303329e+00	1.2022141856e-01	5.9291507913e+00	6.3658789455e+00
74	6.2202143031e+00	1.2041220675e-01	5.9290315912e+00	6.3660138799e+00
75	6.2211197267e+00	1.2082341972e-01	5.9300602170e+00	6.3685303618e+00
76	6.2211868408e+00	1.2092432780e-01	5.9300728110e+00	6.3694579699e+00
77	6.2222402879e+00	1.2164307092e-01	5.9298995806e+00	6.3712027340e+00
78	6.2238773866e+00	1.2168385066e-01	5.9302730396e+00	6.3733207293e+00
79	6.2253851002e+00	1.2083725870e-01	5.9303094791e+00	6.3733317622e+00
80	6.2266941326e+00	1.2000966886e-01	5.9327537680e+00	6.3750217767e+00
81	6.2274270398e+00	1.2062528225e-01	5.9327602701e+00	6.3754239000e+00
82	6.2282144875e+00	1.2053349858e-01	5.9327332559e+00	6.3761107710e+00
83	6.2287579233e+00	1.2067396525e-01	5.9336128143e+00	6.3768839652e+00
84	6.2287703554e+00	1.2062755883e-01	5.9337249196e+00	6.3769426872e+00
85	6.2320108229e+00	1.1567790227e-01	5.9548598564e+00	6.3793206180e+00
86	6.2325295269e+00	1.1561997692e-01	5.9549842097e+00	6.3804027351e+00
87	6.2345222058e+00	1.1361065871e-01	5.9611082927e+00	6.3802193486e+00
88	6.2345908874e+00	1.1393345264e-01	5.9611076774e+00	6.3816363774e+00
89	6.2346110430e+00	1.1387973743e-01	5.9607815274e+00	6.3801867278e+00
90	6.2350428651e+00	1.1353748565e-01	5.9620954269e+00	6.3807676460e+00
91	6.2346910506e+00	1.1361270228e-01	5.9621194685e+00	6.3805750127e+00
92	6.2348549481e+00	1.1363535098e-01	5.9618894144e+00	6.3808881390e+00
93	6.2350144618e+00	1.1371159594e-01	5.9619735742e+00	6.3816740112e+00
94	6.2353721452e+00	1.1403236678e-01	5.9619574385e+00	6.3835173315e+00
95	6.2356977690e+00	1.1386523631e-01	5.9630015626e+00	6.3837031112e+00
96	6.2359219117e+00	1.1331484254e-01	5.9653359517e+00	6.3839959141e+00
97	6.2608169020e+00	6.3489412323e-02	6.1877251203e+00	6.3840975019e+00
98	6.2610053845e+00	6.3539250711e-02	6.1878338874e+00	6.3841298054e+00
99	6.2609789877e+00	6.3541804726e-02	6.1878238909e+00	6.3840618835e+00
100	6.2612235064e+00	6.3536353394e-02	6.1878722004e+00	6.3848896005e+00
