# MOEAD_V5_AJUSTADO - Hipervolumen promedio por generación
# gen	hv_mean	hv_std	hv_min	hv_max
1	3.4999117221e+00	1.3350066516e-01	3.3226332388e+00	3.6933279590e+00
2	3.8576812016e+00	1.9720665285e-01	3.4687927835e+00	4.1517466437e+00
3	4.1810406464e+00	1.5584896853e-01	3.9059474328e+00	4.4333018050e+00
4	4.4264218006e+00	1.6941232256e-01	4.0959066831e+00	4.6807539217e+00
5	4.6620663499e+00	2.0595315035e-01	4.3359470020e+00	4.8956938389e+00
6	4.7722401373e+00	2.7679511906e-01	4.0430378946e+00	4.9721009582e+00
7	4.9308785561e+00	2.9559044543e-01	4.1685657152e+00	5.1816351167e+00
8	5.0427415285e+00	3.2070285193e-01	4.2612067154e+00	5.3106211518e+00
9	5.1450608796e+00	3.5067090176e-01	4.3127529529e+00	5.4608806974e+00
10	5.2036387795e+00	3.7015714406e-01	4.3457051701e+00	5.5698347203e+00
11	5.3556165368e+00	3.5170659367e-01	4.5002138387e+00	5.7636654397e+00
12	5.4104755946e+00	3.4599281384e-01	4.5491061382e+00	5.7709990732e+00
13	5.4763276405e+00	3.6417938007e-01	4.5702007285e+00	5.8305990959e+00
14	5.5313541186e+00	3.7343344085e-01	4.5797580073e+00	5.8464113993e+00
15	5.5685940710e+00	3.8989615183e-01	4.5607596533e+00	5.9035061075e+00
16	5.6145034564e+00	4.2531974153e-01	4.5293520661e+00	6.0185766852e+00
17	5.6490514554e+00	4.3268671689e-01	4.5386362083e+00	6.0722816820e+00
18	5.7242691168e+00	4.2647159798e-01	4.5846488098e+00	6.0989321399e+00
19	5.7576220729e+00	4.3848060132e-01	4.5905636748e+00	6.1259280617e+00
20	5.8014236049e+00	4.3534384205e-01	4.6164781052e+00	6.1276665459e+00
21	5.8205083436e+00	4.3127440587e-01	4.6379331180e+00	6.1382121247e+00
22	5.8542008108e+00	3.9157010580e-01	4.7872722115e+00	6.1481463126e+00
23	5.8742204368e+00	3.8817594528e-01	4.8158053524e+00	6.1713025587e+00
24	5.9029998703e+00	3.9287644794e-01	4.8268432342e+00	6.1801211802e+00
