# MOEAD_V6 - Hipervolumen promedio por generación
# gen	hv_mean	hv_std	hv_min	hv_max
1	3.3826224732e+00	1.3585822363e-01	3.1856951700e+00	3.6323102358e+00
2	3.6712124000e+00	1.8576580708e-01	3.3458806088e+00	3.8700402315e+00
3	3.9949909325e+00	1.6768539993e-01	3.6596801898e+00	4.2825778981e+00
4	4.2094419690e+00	2.8989330222e-01	3.6121591290e+00	4.4714666175e+00
5	4.4779612927e+00	2.9763383554e-01	3.8775241426e+00	4.8420423806e+00
6	4.6196262719e+00	3.0935186142e-01	4.0224411436e+00	4.9106525438e+00
7	4.8251463174e+00	3.5918973333e-01	4.1220764342e+00	5.2111990112e+00
8	5.0500482274e+00	3.9821305311e-01	4.2335973262e+00	5.4693701871e+00
9	5.1909146717e+00	3.7197370928e-01	4.3037037271e+00	5.5653270159e+00
10	5.2663485831e+00	3.6026604115e-01	4.3983806675e+00	5.5997774146e+00
11	5.3404150051e+00	3.5949814246e-01	4.4473653500e+00	5.6125880828e+00
12	5.3792230172e+00	3.4835699298e-01	4.5202692835e+00	5.6717834871e+00
13	5.4589115619e+00	3.6450702186e-01	4.5512389271e+00	5.7776613235e+00
14	5.5260456668e+00	3.5337096441e-01	4.6285180385e+00	5.8371582550e+00
15	5.6246095478e+00	2.9860669484e-01	4.8977099211e+00	5.9152865668e+00
16	5.6686683957e+00	3.0657994715e-01	4.9329915374e+00	5.9511740151e+00
17	5.6889442547e+00	3.1939501832e-01	4.9040901885e+00	5.9516702531e+00
18	5.7447877383e+00	2.9958056887e-01	4.9677484049e+00	6.0077784318e+00
19	5.7858350469e+00	3.1077285716e-01	4.9875285552e+00	6.0399340856e+00
20	5.8556900379e+00	2.0987015699e-01	5.3759351594e+00	6.0743434429e+00
21	5.8973944143e+00	2.1329188674e-01	5.4376729667e+00	6.1369638001e+00
22	5.9375933644e+00	2.2295432318e-01	5.4536975321e+00	6.1663577085e+00
23	5.9591706287e+00	2.1588552797e-01	5.4690306437e+00	6.1751529313e+00
24	5.9714264794e+00	2.1789752723e-01	5.4702992065e+00	6.1737839784e+00
25	6.0072262015e+00	1.7478982835e-01	5.6802081389e+00	6.2100014178e+00
26	6.0363381691e+00	1.6542266011e-01	5.6942002606e+00	6.2203150126e+00
27	6.0635649699e+00	1.3615741894e-01	5.8574952895e+00	6.2297402054e+00
28	6.0638578683e+00	1.6959622400e-01	5.6868786982e+00	6.2375513001e+00
29	6.0782459329e+00	1.6688243954e-01	5.7098503956e+00	6.2486752463e+00
30	6.0882131364e+00	1.7028001569e-01	5.7109419237e+00	6.2609797974e+00
31	6.0962829158e+00	1.7422681275e-01	5.7099832143e+00	6.2754633376e+00
32	6.1077427463e+00	1.5656075603e-01	5.7961888770e+00	6.2817060452e+00
33	6.1371132268e+00	1.1844904686e-01	5.9199999060e+00	6.2858183642e+00
34	6.1400011713e+00	1.1382467336e-01	5.9272896596e+00	6.2909410187e+00
35	6.1670341586e+00	1.1419396516e-01	5.9067181294e+00	6.2948973332e+00
36	6.1662264416e+00	1.1437645577e-01	5.9115456065e+00	6.3032997742e+00
37	6.1761432785e+00	1.1994279472e-01	5.9106315461e+00	6.3182008092e+00
38	6.1837186323e+00	1.1953007417e-01	5.9123527287e+00	6.3220224036e+00
39	6.1899081332e+00	1.2164060100e-01	5.9134636680e+00	6.3230982431e+00
40	6.2069868019e+00	1.2006276458e-01	5.9208260632e+00	6.3300357164e+00
41	6.2105314094e+00	1.1886207498e-01	5.9211168819e+00	6.3337848379e+00
42	6.2176549825e+00	1.1754653681e-01	5.9289814625e+00	6.3390970245e+00
43	6.2204111136e+00	1.1843664793e-01	5.9300757444e+00	6.3397045612e+00
