# MOEAD_V8_4 - Hipervolumen promedio por generación
# gen	hv_mean	hv_std	hv_min	hv_max
1	3.3250551615e+00	1.6215618633e-01	3.0314844652e+00	3.5740233452e+00
2	3.7725439575e+00	2.2502767560e-01	3.2648514339e+00	4.0694728953e+00
3	3.9010625146e+00	3.2342070005e-01	3.3960502780e+00	4.4848209780e+00
4	4.0989714834e+00	3.3475299228e-01	3.4744761207e+00	4.6433158970e+00
5	4.3615216287e+00	3.1180537919e-01	3.9065362608e+00	4.8026296501e+00
6	4.4661978924e+00	3.9647965475e-01	3.9803173633e+00	5.0230367060e+00
7	4.5329666446e+00	3.7607903101e-01	4.0318787087e+00	5.0791261054e+00
8	4.6945877388e+00	3.5930219887e-01	4.2482880133e+00	5.2533604131e+00
9	4.8641664588e+00	4.4239512481e-01	4.3325816503e+00	5.4466291700e+00
10	4.9553020130e+00	4.3781483323e-01	4.3873419875e+00	5.4913304906e+00
11	5.0750158307e+00	4.1933966482e-01	4.5506221329e+00	5.6588244133e+00
12	5.1662826894e+00	3.3382446609e-01	4.6220290449e+00	5.7172584629e+00
13	5.2718760923e+00	3.0371313656e-01	4.9054758944e+00	5.8235177573e+00
14	5.3514245226e+00	2.7821129767e-01	5.0246865114e+00	5.8598801692e+00
15	5.3721982567e+00	3.1904408133e-01	5.0734020353e+00	5.9276617563e+00
16	5.4523496354e+00	3.0934974310e-01	5.0905341952e+00	5.9524198656e+00
17	5.5181951187e+00	2.8092883083e-01	5.1145929096e+00	5.9707319039e+00
18	5.5427916671e+00	2.8823094826e-01	5.1276838963e+00	6.0166253120e+00
19	5.5963218027e+00	2.9365543787e-01	5.1290056494e+00	6.0274774601e+00
20	5.6409494857e+00	2.9213850294e-01	5.2072060177e+00	6.0310790215e+00
21	5.7380235531e+00	2.1779821747e-01	5.4277420094e+00	6.0675143507e+00
22	5.7734531078e+00	2.1735933268e-01	5.4946761195e+00	6.1428666582e+00
23	5.7573800660e+00	2.5608792156e-01	5.3554274279e+00	6.1581155145e+00
24	5.8062407586e+00	2.6054486008e-01	5.3721570589e+00	6.1779778187e+00
25	5.8597627093e+00	2.7564266773e-01	5.3812698588e+00	6.1976082006e+00
26	5.8747869620e+00	2.7189901149e-01	5.4007843176e+00	6.1713091158e+00
27	5.8998314353e+00	2.7054723298e-01	5.4042338694e+00	6.1755837357e+00
28	5.9232033740e+00	2.6082175726e-01	5.4060407101e+00	6.1886717161e+00
29	5.9551130923e+00	2.2963844308e-01	5.5834245085e+00	6.1961279267e+00
30	5.9742921670e+00	2.3420342181e-01	5.5892427579e+00	6.2051651889e+00
31	6.0316997966e+00	2.1541485165e-01	5.6128518913e+00	6.2032911181e+00
32	6.1143382108e+00	1.4881882798e-01	5.8126231826e+00	6.2268323303e+00
33	6.1220616496e+00	1.4704356987e-01	5.8232451904e+00	6.2301883716e+00
34	6.1337449598e+00	1.4037702414e-01	5.8624306163e+00	6.2344741006e+00
35	6.1777037299e+00	1.0004352130e-01	5.9448837252e+00	6.2406635326e+00
36	6.1845788012e+00	1.0500146112e-01	5.9483427926e+00	6.2979230721e+00
37	6.1904681759e+00	1.0603163300e-01	5.9526293467e+00	6.3085140087e+00
38	6.2135811089e+00	6.9543466729e-02	6.0623778628e+00	6.3077343176e+00
39	6.2195125985e+00	7.2696107934e-02	6.0563612577e+00	6.3084732758e+00
40	6.2225451145e+00	7.3838373461e-02	6.0558193241e+00	6.3106629822e+00
41	6.2252654932e+00	7.4127206837e-02	6.0586458825e+00	6.3148702393e+00
42	6.2183570069e+00	7.7258585072e-02	6.0618654641e+00	6.3229630299e+00
43	6.2193758921e+00	7.7343977437e-02	6.0613091086e+00	6.3190269253e+00
44	6.2213186777e+00	7.8456464021e-02	6.0629911858e+00	6.3241339034e+00
45	6.2255194580e+00	8.0524400701e-02	6.0698567960e+00	6.3417260142e+00
46	6.2281036726e+00	8.2521477362e-02	6.0683865972e+00	6.3425618064e+00
47	6.2359561436e+00	8.6208314759e-02	6.0687090391e+00	6.3460666842e+00
48	6.2375717917e+00	8.6152493096e-02	6.0700999014e+00	6.3487409432e+00
49	6.2393744217e+00	8.5925385814e-02	6.0725790003e+00	6.3456552182e+00
50	6.2399832267e+00	8.5949735654e-02	6.0677035173e+00	6.3487617318e+00
51	6.2428298401e+00	8.6367848505e-02	6.0730292666e+00	6.3542707260e+00
52	6.2428356724e+00	8.7171423441e-02	6.0683131017e+00	6.3490798164e+00
53	6.2446270537e+00	8.6076605461e-02	6.0741526969e+00	6.3540300466e+00
54	6.2443635948e+00	8.5213221030e-02	6.0750424205e+00	6.3491344419e+00
55	6.2481500578e+00	8.5352746189e-02	6.0823940066e+00	6.3564816877e+00
56	6.2492579968e+00	8.5996491602e-02	6.0807238140e+00	6.3564258937e+00
57	6.2512874495e+00	8.6820467328e-02	6.0804177269e+00	6.3564482308e+00
58	6.2524668386e+00	8.6436407934e-02	6.0830272435e+00	6.3589828281e+00
59	6.2544278398e+00	8.6635387145e-02	6.0841952134e+00	6.3539402702e+00
60	6.2549115545e+00	8.6856769819e-02	6.0840309047e+00	6.3601030560e+00
61	6.2532336422e+00	8.6149231355e-02	6.0836208032e+00	6.3612004761e+00
62	6.2547641139e+00	8.6457628154e-02	6.0839443208e+00	6.3553938875e+00
63	6.2566801406e+00	8.7634153461e-02	6.0828473927e+00	6.3546860332e+00
64	6.2572937172e+00	8.7894567136e-02	6.0837202149e+00	6.3553613155e+00
65	6.2595438072e+00	8.9986159595e-02	6.0841352328e+00	6.3584904824e+00
66	6.2590139075e+00	8.9873356281e-02	6.0834894333e+00	6.3589987292e+00
67	6.2597417454e+00	9.0581988148e-02	6.0838608601e+00	6.3642179939e+00
68	6.2597186318e+00	8.9153911174e-02	6.0866943701e+00	6.3598322012e+00
69	6.2589866688e+00	8.8544261347e-02	6.0873309127e+00	6.3653926326e+00
70	6.2588160917e+00	8.7854435183e-02	6.0869987392e+00	6.3610410856e+00
71	6.2592934268e+00	8.9247865369e-02	6.0841173044e+00	6.3613972330e+00
72	6.2587055288e+00	8.7807617150e-02	6.0873208614e+00	6.3621605597e+00
73	6.2594575393e+00	8.8253800300e-02	6.0875167528e+00	6.3652110744e+00
74	6.2590729956e+00	8.7376863003e-02	6.0874067986e+00	6.3601427196e+00
75	6.2599428973e+00	8.7865431345e-02	6.0878433410e+00	6.3569505201e+00
76	6.2607296965e+00	8.7568432886e-02	6.0911274923e+00	6.3577605726e+00
77	6.2610062093e+00	8.7233663553e-02	6.0912544848e+00	6.3562411372e+00
78	6.2612378460e+00	8.7706485325e-02	6.0905453859e+00	6.3575449543e+00
79	6.2619021761e+00	8.7831687254e-02	6.0913572826e+00	6.3556192329e+00
80	6.2621087228e+00	8.7132269843e-02	6.0915876562e+00	6.3534186876e+00
81	6.2633197247e+00	8.8696784293e-02	6.0908137243e+00	6.3566152228e+00
82	6.2625318308e+00	8.8629546455e-02	6.0879121393e+00	6.3544918158e+00
83	6.2617197639e+00	8.7822264032e-02	6.0878330873e+00	6.3545225804e+00
84	6.2633590592e+00	8.9362059759e-02	6.0895807217e+00	6.3714715981e+00
85	6.2644449928e+00	9.0509804632e-02	6.0881644233e+00	6.3717961887e+00
86	6.2652816859e+00	9.0221731053e-02	6.0901924469e+00	6.3720587573e+00
87	6.2645535122e+00	9.0213325142e-02	6.0849121692e+00	6.3683347882e+00
88	6.2673305191e+00	9.3177877042e-02	6.0849190264e+00	6.3694178077e+00
89	6.2683132929e+00	8.9548790127e-02	6.0982824963e+00	6.3640676873e+00
90	6.2762574009e+00	7.3925177343e-02	6.1820644614e+00	6.3636478659e+00
91	6.2767414182e+00	7.3783921771e-02	6.1832575364e+00	6.3643261052e+00
92	6.2767523415e+00	7.3955536152e-02	6.1828865326e+00	6.3600070180e+00
93	6.2740102047e+00	7.2705594476e-02	6.1807789711e+00	6.3708517288e+00
94	6.2742020669e+00	7.2887982950e-02	6.1804186374e+00	6.3713351575e+00
95	6.2763013593e+00	7.5499077562e-02	6.1788746867e+00	6.3756277630e+00
96	6.2749066350e+00	7.4393123849e-02	6.1783027067e+00	6.3754722881e+00
97	6.2745634876e+00	7.3639076137e-02	6.1790711522e+00	6.3755123082e+00
98	6.2761137515e+00	7.3037989582e-02	6.1875499912e+00	6.3749556752e+00
99	6.2809657107e+00	6.5584332458e-02	6.1880558061e+00	6.3697167384e+00
100	6.2829957431e+00	6.6955046250e-02	6.1880558061e+00	6.3689663194e+00
