# NSGA2 - Hipervolumen promedio por generación
# gen	hv_mean	hv_std	hv_min	hv_max
1	2.9310912059e+00	7.2672871411e-02	2.7958715064e+00	3.0162343438e+00
2	3.0330557714e+00	9.9052084500e-02	2.8928331181e+00	3.1938342211e+00
3	3.1863126521e+00	1.4471423241e-01	2.9779884914e+00	3.4696030237e+00
4	3.3005193908e+00	1.4850783117e-01	3.0760601353e+00	3.5387116654e+00
5	3.4289475185e+00	1.6335576171e-01	3.1601171505e+00	3.6735298414e+00
6	3.5759077807e+00	1.4726546049e-01	3.3737833308e+00	3.8118537629e+00
7	3.6721149595e+00	1.2839396805e-01	3.5137263864e+00	3.9130308992e+00
8	3.7965250493e+00	1.3763714928e-01	3.5683108205e+00	3.9657779261e+00
9	3.9032767440e+00	1.8726990143e-01	3.5858164100e+00	4.1853386512e+00
10	4.0051430193e+00	1.8044520139e-01	3.6318342269e+00	4.2274170008e+00
11	4.1175919884e+00	1.9173621558e-01	3.8116172649e+00	4.4920047601e+00
12	4.2063085166e+00	1.7891843292e-01	3.8987575362e+00	4.5398902533e+00
13	4.3130660477e+00	1.7977426812e-01	3.9986951116e+00	4.6176598451e+00
14	4.3913719793e+00	1.9035931046e-01	4.0733442211e+00	4.6928144022e+00
15	4.4635219120e+00	1.8701385693e-01	4.2141153855e+00	4.7822611091e+00
16	4.5516924764e+00	1.8940748568e-01	4.2941479270e+00	4.8820716546e+00
17	4.6123399500e+00	1.7432667879e-01	4.3978605975e+00	4.9388064243e+00
18	4.6813324045e+00	1.5227039560e-01	4.4686865782e+00	4.9769389231e+00
19	4.7433308006e+00	1.4002115904e-01	4.5311521103e+00	5.0086971789e+00
20	4.8236755118e+00	1.4124073314e-01	4.6367824604e+00	5.0551212471e+00
21	4.8948201812e+00	1.4790088210e-01	4.6801857156e+00	5.1316348392e+00
22	4.9507694519e+00	1.3808392187e-01	4.7226025229e+00	5.1570594522e+00
23	5.0005006241e+00	1.3609378123e-01	4.7608072653e+00	5.2189681341e+00
24	5.0410617943e+00	1.2518430506e-01	4.8418230288e+00	5.2520642622e+00
25	5.0816777190e+00	1.2617195102e-01	4.9098215045e+00	5.2772417088e+00
26	5.1326188709e+00	1.1088513938e-01	4.9669769415e+00	5.2958384941e+00
27	5.1831922689e+00	1.0516304454e-01	5.0365588503e+00	5.3446413330e+00
28	5.2197821169e+00	9.5157570524e-02	5.0839320665e+00	5.3578634460e+00
29	5.2532805559e+00	9.1724723112e-02	5.1142091356e+00	5.3953823944e+00
30	5.2816654480e+00	8.8376823425e-02	5.1471483153e+00	5.4324872159e+00
31	5.3176826249e+00	8.7011611111e-02	5.1682369395e+00	5.4643118962e+00
32	5.3511783738e+00	8.1540092761e-02	5.1952180678e+00	5.4883693079e+00
33	5.3750527422e+00	7.8717072538e-02	5.2277465495e+00	5.5227489142e+00
34	5.4019743477e+00	7.7373860155e-02	5.2743177136e+00	5.5648319307e+00
35	5.4319809295e+00	7.0088649301e-02	5.3088289643e+00	5.5757287131e+00
36	5.4580002899e+00	7.3962747789e-02	5.3456612942e+00	5.5979619124e+00
37	5.4853401544e+00	7.0351453902e-02	5.3804688493e+00	5.6176399579e+00
