# gen	hv_mean	hv_std	hv_min	hv_max
1	1.8040013355e+00	3.3465792818e-01	1.1159033236e+00	2.1900617014e+00
2	2.2109972111e+00	3.9846626265e-01	1.3120103664e+00	2.6173319902e+00
3	2.4889795132e+00	4.2556246398e-01	1.6142151361e+00	2.9962554431e+00
4	2.7290792331e+00	3.6623579142e-01	1.9178089037e+00	3.2665363748e+00
5	2.9563756002e+00	3.9836452072e-01	2.1525675440e+00	3.5015039302e+00
6	3.0573963726e+00	3.8927964674e-01	2.2657441126e+00	3.5927019973e+00
7	3.2009620466e+00	4.0378084779e-01	2.4189915582e+00	3.7302674745e+00
8	3.2893022952e+00	4.0486873612e-01	2.4576213071e+00	3.7929346602e+00
9	3.3598068063e+00	4.1046324964e-01	2.5691389060e+00	4.0015939160e+00
10	3.4382221946e+00	4.2630890673e-01	2.5891127367e+00	4.0656531991e+00
11	3.4628416353e+00	5.1649773446e-01	2.2832409304e+00	4.1502320351e+00
12	3.5300440320e+00	5.2185744373e-01	2.3528727634e+00	4.2181429480e+00
13	3.5862059907e+00	5.2210468149e-01	2.3805520057e+00	4.2635108009e+00
14	3.6245859099e+00	5.2852986393e-01	2.4185552810e+00	4.2948094307e+00
15	3.6560368009e+00	5.3174215618e-01	2.4378506353e+00	4.3364212584e+00
16	3.7016753888e+00	5.4445013550e-01	2.4773086028e+00	4.4120868667e+00
17	3.7257935454e+00	5.4836957079e-01	2.4768500729e+00	4.4431918318e+00
18	3.7510578120e+00	5.5007610586e-01	2.4918095217e+00	4.4659893239e+00
19	3.8181007513e+00	5.7349726643e-01	2.5183999899e+00	4.5476048296e+00
20	3.8382172018e+00	5.7510369570e-01	2.5368139596e+00	4.5413666965e+00
21	3.8642919949e+00	5.7056679122e-01	2.5436123909e+00	4.5234836832e+00
22	3.9161282660e+00	5.9197741114e-01	2.5497617841e+00	4.5356868004e+00
23	3.9405354163e+00	5.8919977590e-01	2.5734858153e+00	4.5509542341e+00
24	3.9578163939e+00	5.9400605744e-01	2.5809594871e+00	4.5802157454e+00
25	3.9688396930e+00	5.9084593668e-01	2.5897757179e+00	4.5845642883e+00
26	3.9855996712e+00	5.9170911365e-01	2.6143288612e+00	4.6070558624e+00
27	3.9981346394e+00	5.9288318199e-01	2.6205083834e+00	4.6191211980e+00
28	4.0144131942e+00	5.8544998163e-01	2.6606181480e+00	4.6428226495e+00
29	4.0243847794e+00	5.8916412064e-01	2.6609685761e+00	4.6651214390e+00
30	4.0334750974e+00	5.8890456498e-01	2.6702502482e+00	4.6805544986e+00
31	4.0409817572e+00	5.9065969184e-01	2.6739597309e+00	4.6965093191e+00
32	4.0577130665e+00	5.9257666054e-01	2.6836989443e+00	4.7029395595e+00
33	4.0635861495e+00	5.9340973295e-01	2.6853426402e+00	4.7142078013e+00
34	4.0735527197e+00	5.9414868851e-01	2.6873983741e+00	4.7163057790e+00
35	4.0857175871e+00	5.8191842900e-01	2.7493791050e+00	4.7352283669e+00
36	4.0988749875e+00	5.8451141861e-01	2.7495478364e+00	4.7370189910e+00
37	4.1091220389e+00	5.8519689075e-01	2.7554799296e+00	4.7395163774e+00
38	4.1222112655e+00	5.8273506130e-01	2.7636020201e+00	4.7478533852e+00
39	4.1275191603e+00	5.8388694632e-01	2.7673824667e+00	4.7591964247e+00
40	4.1329202431e+00	5.8498566882e-01	2.7718427535e+00	4.7647874572e+00
41	4.1410160895e+00	5.8582881091e-01	2.7775784650e+00	4.7717351349e+00
42	4.1459228569e+00	5.8456238020e-01	2.7844415022e+00	4.7742509008e+00
43	4.1525235420e+00	5.8316053154e-01	2.7996944192e+00	4.7786165119e+00
