# gen	zdt3_all_popmp40g100_seed01.out	zdt3_all_popmp40g100_seed02.out	zdt3_all_popmp40g100_seed03.out	zdt3_all_popmp40g100_seed04.out	zdt3_all_popmp40g100_seed05.out	zdt3_all_popmp40g100_seed06.out	zdt3_all_popmp40g100_seed07.out	zdt3_all_popmp40g100_seed08.out	zdt3_all_popmp40g100_seed09.out	zdt3_all_popmp40g100_seed099.out
1	1.9131044856e+00	1.6447436012e+00	1.4690281877e+00	2.0764389000e+00	1.1159033236e+00	2.1900617014e+00	1.7444411012e+00	2.1699967483e+00	1.9540184233e+00	1.7622768823e+00
2	2.1601784562e+00	2.5286657758e+00	1.8438656614e+00	2.5342735403e+00	1.3120103664e+00	2.5429566467e+00	2.2105361915e+00	2.6173319902e+00	2.1601454897e+00	2.2000079927e+00
3	2.7224357150e+00	2.6552693511e+00	2.0206067808e+00	2.8005267780e+00	1.6142151361e+00	2.8932484781e+00	2.4090087907e+00	2.9962554431e+00	2.2915810865e+00	2.4866475723e+00
4	2.9244729627e+00	2.7908220355e+00	2.3602933650e+00	2.8275064135e+00	1.9178089037e+00	2.9196515292e+00	2.6608771971e+00	3.2665363748e+00	2.9060947869e+00	2.7167287629e+00
5	3.1419751764e+00	3.2211581579e+00	2.5178063251e+00	3.1938787069e+00	2.1525675440e+00	3.1846403410e+00	2.7310503725e+00	3.5015039302e+00	3.0795287700e+00	2.8396466779e+00
6	3.1574700212e+00	3.2589907908e+00	2.5965640917e+00	3.2955114757e+00	2.2657441126e+00	3.3269525020e+00	2.9113581951e+00	3.5927019973e+00	3.2174199704e+00	2.9512505689e+00
7	3.2979019992e+00	3.4693198479e+00	2.7089455432e+00	3.3443593831e+00	2.4189915582e+00	3.5810128336e+00	3.1171593005e+00	3.7302674745e+00	3.3687897786e+00	2.9728727474e+00
8	3.5478100289e+00	3.5978864216e+00	2.8106358529e+00	3.4428256450e+00	2.4576213071e+00	3.4966836242e+00	3.2765395251e+00	3.7929346602e+00	3.4168807348e+00	3.0532051525e+00
9	3.5011044984e+00	3.6668635094e+00	2.8984472406e+00	3.4850420134e+00	2.5691389060e+00	3.6048103353e+00	3.3212085411e+00	4.0015939160e+00	3.4489469011e+00	3.1009122013e+00
10	3.5257125528e+00	3.8110553568e+00	2.9756978330e+00	3.5265169020e+00	2.5891127367e+00	3.7046825063e+00	3.3924363103e+00	4.0656531991e+00	3.5904791782e+00	3.2008753710e+00
11	3.6232509450e+00	3.8000422617e+00	3.0063369747e+00	3.5976418603e+00	2.2832409304e+00	3.7902998685e+00	3.4804549791e+00	4.1502320351e+00	3.6259545868e+00	3.2709619115e+00
12	3.7245287442e+00	3.8983964825e+00	3.0470776572e+00	3.6693036453e+00	2.3528727634e+00	3.8295650972e+00	3.6037586479e+00	4.2181429480e+00	3.6589038288e+00	3.2978905055e+00
13	3.7779527278e+00	3.9444510439e+00	3.0955142212e+00	3.7466443652e+00	2.3805520057e+00	3.8420520333e+00	3.6280193709e+00	4.2635108009e+00	3.7367775203e+00	3.4465858179e+00
14	3.7752115447e+00	4.0604390535e+00	3.1291745872e+00	3.8442173287e+00	2.4185552810e+00	3.8695009831e+00	3.6546522644e+00	4.2948094307e+00	3.7444379140e+00	3.4548607118e+00
15	3.8216739461e+00	4.0906839104e+00	3.1716986922e+00	3.8258185572e+00	2.4378506353e+00	3.9278896862e+00	3.6669493747e+00	4.3364212584e+00	3.7883220270e+00	3.4930599213e+00
16	3.9207264923e+00	4.1193662718e+00	3.1970435812e+00	3.8727871521e+00	2.4773086028e+00	3.9741823701e+00	3.7104589909e+00	4.4120868667e+00	3.8674777740e+00	3.4653157859e+00
17	3.9449285027e+00	4.1093436678e+00	3.2701040066e+00	3.9112980263e+00	2.4768500729e+00	4.0387961291e+00	3.7368600469e+00	4.4431918318e+00	3.8739451879e+00	3.4526179819e+00
18	3.9853128477e+00	4.1608359515e+00	3.2888421285e+00	3.9165040719e+00	2.4918095217e+00	4.0541774858e+00	3.7373198351e+00	4.4659893239e+00	3.8869350493e+00	3.5228519046e+00
19	3.9963765347e+00	4.1912804402e+00	3.3692712406e+00	3.9494628347e+00	2.5183999899e+00	4.2994141144e+00	3.7857343278e+00	4.5476048296e+00	3.9961237925e+00	3.5273394091e+00
20	4.0270262922e+00	4.2458306425e+00	3.3731193680e+00	3.9563097695e+00	2.5368139596e+00	4.3279023395e+00	3.8087474689e+00	4.5413666965e+00	4.0167356248e+00	3.5483198566e+00
21	4.1070979208e+00	4.2658508821e+00	3.4572783944e+00	3.9855971484e+00	2.5436123909e+00	4.3438002276e+00	3.8268281716e+00	4.5234836832e+00	4.0287676110e+00	3.5606035188e+00
22	4.1984893740e+00	4.2848151250e+00	3.4649599929e+00	4.3144530612e+00	2.5497617841e+00	4.3567742223e+00	3.8439092356e+00	4.5356868004e+00	4.0317229436e+00	3.5807101207e+00
23	4.2486842282e+00	4.2951796079e+00	3.4729634703e+00	4.3449928561e+00	2.5734858153e+00	4.3696593019e+00	3.8558207894e+00	4.5509542341e+00	4.0354072543e+00	3.6582066054e+00
24	4.2541052304e+00	4.3138981288e+00	3.4863240742e+00	4.3682287887e+00	2.5809594871e+00	4.3851395399e+00	3.8762076923e+00	4.5802157454e+00	4.0680635947e+00	3.6650216578e+00
25	4.2518552795e+00	4.3302002540e+00	3.5136577129e+00	4.3712991254e+00	2.5897757179e+00	4.3963817587e+00	3.8887558553e+00	4.5845642883e+00	4.0764770492e+00	3.6854298891e+00
26	4.2823950863e+00	4.3506452622e+00	3.5151938564e+00	4.3942322417e+00	2.6143288612e+00	4.4046042016e+00	3.9043330872e+00	4.6070558624e+00	4.0853026748e+00	3.6979055778e+00
27	4.2828473580e+00	4.3560459507e+00	3.5291777982e+00	4.4193679160e+00	2.6205083834e+00	4.4115070536e+00	3.9162684008e+00	4.6191211980e+00	4.1152495931e+00	3.7112527423e+00
28	4.3017744156e+00	4.3675009756e+00	3.5591731952e+00	4.4212790272e+00	2.6606181480e+00	4.4202190727e+00	3.9163938031e+00	4.6428226495e+00	4.1364214026e+00	3.7179292526e+00
29	4.3155602774e+00	4.3820532816e+00	3.5708484550e+00	4.4335981330e+00	2.6609685761e+00	4.4247394760e+00	3.9205133141e+00	4.6651214390e+00	4.1373960198e+00	3.7330488224e+00
30	4.3261300399e+00	4.3852332956e+00	3.5747650706e+00	4.4294982742e+00	2.6702502482e+00	4.4396727486e+00	3.9382887337e+00	4.6805544986e+00	4.1425418738e+00	3.7478161907e+00
31	4.3413270759e+00	4.3968376466e+00	3.5765238596e+00	4.4254897685e+00	2.6739597309e+00	4.4430959402e+00	3.9517754893e+00	4.6965093191e+00	4.1465715987e+00	3.7577271431e+00
32	4.4235635566e+00	4.4093538281e+00	3.6115405013e+00	4.4306960303e+00	2.6836989443e+00	4.4506845206e+00	3.9558847891e+00	4.7029395595e+00	4.1470741616e+00	3.7616947738e+00
