# gen	hv_mean	hv_std	hv_min	hv_max
0	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2	2.4559814400e-02	4.9565079488e-02	0.0000000000e+00	1.5424322100e-01
3	1.1318115411e-01	1.3330182203e-01	0.0000000000e+00	3.5946761812e-01
4	1.8153214749e-01	1.4966295880e-01	0.0000000000e+00	5.1113932568e-01
5	1.9734644371e-01	8.9435455856e-02	0.0000000000e+00	2.9148345435e-01
6	2.9006134966e-01	1.4396264674e-01	0.0000000000e+00	4.9771330910e-01
7	4.1126088236e-01	1.6237085554e-01	2.6852918904e-01	7.6492661000e-01
8	4.3315741727e-01	1.5679879718e-01	1.2476863205e-01	6.6644782020e-01
9	5.1055838058e-01	1.4299982511e-01	1.9758795177e-01	7.2864272152e-01
10	5.7341378038e-01	1.5687554527e-01	3.4972737476e-01	8.9045796316e-01
11	6.0469584191e-01	1.6139602840e-01	2.7739412253e-01	8.0439487631e-01
12	6.3101713366e-01	1.5789408964e-01	3.9769324953e-01	8.2511388572e-01
13	6.5557025844e-01	1.5937642097e-01	3.7455558112e-01	8.3645410186e-01
14	6.9014856751e-01	1.7307421465e-01	4.2005073749e-01	9.8628465179e-01
15	7.0742950447e-01	1.7374549950e-01	4.4242493523e-01	9.8681628375e-01
16	7.6877373628e-01	1.5466487069e-01	5.2706229046e-01	1.0374201075e+00
17	7.6246469243e-01	1.3262473283e-01	5.7070419699e-01	1.0493231885e+00
18	7.9343874667e-01	1.4046987142e-01	5.7110727553e-01	1.0684651061e+00
19	8.2398770097e-01	1.5968952813e-01	5.9579073994e-01	1.0850863860e+00
20	8.4371899148e-01	1.4244218063e-01	5.9325680592e-01	1.0981621979e+00
21	8.4592375210e-01	1.3313160172e-01	6.1998745072e-01	1.0888248506e+00
22	8.7011590082e-01	1.2162101311e-01	7.0706645116e-01	1.1100212804e+00
23	8.7661858079e-01	1.1627340811e-01	7.1800048366e-01	1.1056818715e+00
24	8.9128994538e-01	1.2326226993e-01	7.2749283625e-01	1.1212032295e+00
25	8.9482327517e-01	1.2296989588e-01	7.4323055281e-01	1.1356485698e+00
26	9.1419354656e-01	1.3099015154e-01	7.5602088125e-01	1.1536381326e+00
27	9.2092123964e-01	1.3276049492e-01	7.5110573842e-01	1.1658942742e+00
28	9.1506703623e-01	1.1200457983e-01	7.6603171630e-01	1.0689822169e+00
29	9.3029594340e-01	1.3160834525e-01	7.7140266259e-01	1.1900415716e+00
30	9.3749157250e-01	1.2741809171e-01	7.8665127538e-01	1.1926231416e+00
31	9.5110732678e-01	1.2287523693e-01	8.0173132587e-01	1.1870525428e+00
32	9.5431481185e-01	1.2548099161e-01	8.0513958242e-01	1.1987610416e+00
33	9.5529464911e-01	1.2404339255e-01	8.1941627046e-01	1.2035277092e+00
34	9.6326015030e-01	1.2317384107e-01	8.1928517276e-01	1.2038074273e+00
