# gen	zdt3_all_popmp40g100_seed01.out	zdt3_all_popmp40g100_seed02.out	zdt3_all_popmp40g100_seed03.out	zdt3_all_popmp40g100_seed04.out	zdt3_all_popmp40g100_seed05.out	zdt3_all_popmp40g100_seed06.out	zdt3_all_popmp40g100_seed07.out	zdt3_all_popmp40g100_seed08.out	zdt3_all_popmp40g100_seed09.out	zdt3_all_popmp40g100_seed099.out
0	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	5.5119033750e-02	0.0000000000e+00	3.6235889250e-02	0.0000000000e+00	1.5424322100e-01	0.0000000000e+00	0.0000000000e+00
3	0.0000000000e+00	0.0000000000e+00	9.3044226000e-02	1.8209037825e-01	0.0000000000e+00	1.0162500150e-01	3.2199729705e-01	3.5946761812e-01	4.8532141472e-02	2.5054878750e-02
4	0.0000000000e+00	5.1113932568e-01	2.8180063807e-01	2.1609429402e-01	0.0000000000e+00	2.0534751460e-01	1.8701153542e-01	2.0424188761e-01	1.4304412386e-01	6.6642155617e-02
5	0.0000000000e+00	2.3332774488e-01	2.9148345435e-01	2.7925535044e-01	1.3687765115e-01	2.4172011001e-01	1.9591421429e-01	1.5677917767e-01	2.8214677285e-01	1.5595996147e-01
6	0.0000000000e+00	2.8773042885e-01	2.8955819492e-01	4.9771330910e-01	1.8234162017e-01	3.1998955332e-01	3.6117550782e-01	2.4375643289e-01	4.8167483378e-01	2.3667361574e-01
7	2.6852918904e-01	3.9758875836e-01	5.3244657799e-01	7.6492661000e-01	2.7518877471e-01	3.3498089743e-01	5.5195788710e-01	2.7987516803e-01	4.2027515708e-01	2.8683980384e-01
8	1.2476863205e-01	4.6413373181e-01	5.9343741439e-01	6.6644782020e-01	4.3158339718e-01	4.5225802014e-01	5.3809347156e-01	2.8975286033e-01	4.5119506524e-01	3.1990375977e-01
9	1.9758795177e-01	5.4770575501e-01	5.4775762057e-01	7.2864272152e-01	4.5023405615e-01	5.6473644038e-01	6.2119770375e-01	5.0436244196e-01	5.5501234896e-01	3.8834676575e-01
10	3.4972737476e-01	5.6369714593e-01	4.7457099827e-01	8.9045796316e-01	4.5413256825e-01	6.1637146397e-01	7.3962105571e-01	5.8583017143e-01	6.1180057442e-01	4.4792848792e-01
11	2.7739412253e-01	5.6623783682e-01	4.8566301560e-01	7.6270092671e-01	5.7937239533e-01	6.4833658367e-01	8.0439487631e-01	7.6294963514e-01	6.7483396933e-01	4.8507505772e-01
12	3.9769324953e-01	5.9923280830e-01	4.2289092667e-01	8.2511388572e-01	5.5822090107e-01	6.5129625922e-01	8.1388719101e-01	7.7124323157e-01	7.5588369371e-01	5.1470918975e-01
13	3.7455558112e-01	6.5868091219e-01	4.5659153862e-01	8.3333286225e-01	6.8116591699e-01	6.7098523069e-01	8.3645410186e-01	8.1715302511e-01	7.0044863764e-01	5.2633477791e-01
14	4.2005073749e-01	6.6634912651e-01	4.7571212344e-01	9.8628465179e-01	6.7869632012e-01	7.7265227553e-01	8.2202420458e-01	8.2319407735e-01	7.0795707747e-01	5.4856508086e-01
