# gen	zdt3_all_popmp40g100_seed01.out	zdt3_all_popmp40g100_seed02.out	zdt3_all_popmp40g100_seed03.out	zdt3_all_popmp40g100_seed04.out	zdt3_all_popmp40g100_seed05.out	zdt3_all_popmp40g100_seed06.out	zdt3_all_popmp40g100_seed07.out	zdt3_all_popmp40g100_seed08.out	zdt3_all_popmp40g100_seed09.out	zdt3_all_popmp40g100_seed099.out
0	3.4540021361e+00	2.8359668621e+00	3.4007563446e+00	3.4248448380e+00	3.4014653815e+00	3.6038536173e+00	3.5658346427e+00	3.2569242538e+00	3.6905817659e+00	3.5678408925e+00
1	3.6505219093e+00	3.9133531194e+00	3.8328115022e+00	3.8519388123e+00	3.6107539214e+00	3.8610717447e+00	4.0083528948e+00	3.8899813691e+00	4.2218674364e+00	4.1332861318e+00
2	4.1009248397e+00	3.9651976272e+00	3.9335076241e+00	4.3528654154e+00	4.0662016772e+00	4.3709750679e+00	4.3272974164e+00	4.2539483144e+00	4.2789955553e+00	4.3876838546e+00
3	4.6921674612e+00	4.1460552473e+00	4.4965355378e+00	4.7092222094e+00	4.3620732925e+00	4.3254646476e+00	4.5891560740e+00	4.6101492142e+00	4.5474892815e+00	4.6275243444e+00
4	4.8210102150e+00	4.5309889190e+00	4.6645785531e+00	4.9210520335e+00	4.6481013790e+00	4.7077737763e+00	4.6275194487e+00	4.6362822443e+00	4.7163508053e+00	4.6454871024e+00
5	4.8248480955e+00	4.8738572431e+00	4.7960449322e+00	5.1151626920e+00	4.8231677739e+00	4.8547001072e+00	4.7703638581e+00	4.7188551048e+00	4.9151966400e+00	4.8332002006e+00
6	4.9553282962e+00	4.9235262765e+00	4.9937757184e+00	5.0655508819e+00	5.0105545373e+00	5.0959840730e+00	5.0908934667e+00	4.8132044604e+00	5.1892099668e+00	4.9032663409e+00
7	5.1640889246e+00	5.0686984688e+00	5.2745338883e+00	5.1774275783e+00	5.1238046947e+00	5.0326834080e+00	5.3621091959e+00	4.9129429856e+00	5.2140214325e+00	4.9642354869e+00
8	5.2383266562e+00	5.1935439185e+00	5.1675854571e+00	5.4318870199e+00	5.3252590880e+00	5.1774521369e+00	5.3549870818e+00	5.1263347359e+00	5.2145348246e+00	5.0481855189e+00
9	5.1502092384e+00	5.2294242963e+00	5.1749981791e+00	5.5639989966e+00	5.3369341595e+00	5.3637538873e+00	5.5490919960e+00	5.4353023081e+00	5.3667385826e+00	5.1677427949e+00
10	5.3220757923e+00	5.3134759521e+00	5.1663330074e+00	5.7228538467e+00	5.2829319649e+00	5.4304244328e+00	5.6839072750e+00	5.5339931572e+00	5.4535786830e+00	5.2387724429e+00
11	5.3016201512e+00	5.4517859532e+00	5.1970426439e+00	5.6363921890e+00	5.4007598813e+00	5.5541234389e+00	5.7293099229e+00	5.7533186193e+00	5.5141651620e+00	5.2852927267e+00
12	5.3911148196e+00	5.5259959292e+00	5.2737737115e+00	5.7779850279e+00	5.4007063112e+00	5.5933656993e+00	5.7673749616e+00	5.7614222489e+00	5.6574568694e+00	5.4098171450e+00
13	5.3629132556e+00	5.6049828430e+00	5.3399864296e+00	5.8000534244e+00	5.5322898705e+00	5.6028327384e+00	5.7983455248e+00	5.8161134681e+00	5.6036094019e+00	5.4233533348e+00
14	5.4087624626e+00	5.6223730358e+00	5.3775655027e+00	5.9642002743e+00	5.5399492488e+00	5.7389583870e+00	5.7857383352e+00	5.8224452773e+00	5.6233020159e+00	5.4513946016e+00
15	5.5868257872e+00	5.6483589124e+00	5.3854620644e+00	5.9682243007e+00	5.6240192789e+00	5.7323452898e+00	5.8111111981e+00	5.8614169646e+00	5.7161595324e+00	5.4533674270e+00
