# gen	hv_mean	hv_std	hv_min	hv_max
1	3.1333488379e+00	1.9122522256e-01	2.6981152159e+00	3.3181875914e+00
2	3.5472538484e+00	2.2271117712e-01	3.1597005096e+00	3.8646614730e+00
3	3.8439656725e+00	1.9504278480e-01	3.4594806480e+00	4.1463315438e+00
4	4.1169501376e+00	1.8693928507e-01	3.8447656192e+00	4.3997920611e+00
5	4.3606592214e+00	1.0730755509e-01	4.1733446713e+00	4.5356521838e+00
6	4.4841467705e+00	1.5062337734e-01	4.1905184585e+00	4.6824935598e+00
7	4.6440927713e+00	1.6766906825e-01	4.3330121239e+00	4.8243743064e+00
8	4.7419176190e+00	1.4285086608e-01	4.5036372713e+00	4.9894912976e+00
9	4.8254943345e+00	1.7699356013e-01	4.5375426710e+00	5.0713489385e+00
10	4.9149511239e+00	1.9144122367e-01	4.5620468792e+00	5.1242355845e+00
11	4.9288449361e+00	2.0989225200e-01	4.6206488475e+00	5.2187579219e+00
12	5.0094778473e+00	2.1103050080e-01	4.7245243623e+00	5.3750484982e+00
13	5.0688472030e+00	2.1466732368e-01	4.7490775384e+00	5.4018456728e+00
14	5.1114065565e+00	2.0837266771e-01	4.7945362023e+00	5.4313881431e+00
15	5.1459728777e+00	2.1032554025e-01	4.8324942222e+00	5.4451184170e+00
16	5.1937137653e+00	2.0338104806e-01	4.8752981351e+00	5.4918111011e+00
17	5.2211830501e+00	2.0622094623e-01	4.8799754381e+00	5.5261407419e+00
18	5.2491156621e+00	2.0453588178e-01	4.8952566338e+00	5.5211683903e+00
19	5.3290042200e+00	2.4152002523e-01	4.9311830080e+00	5.5841392784e+00
20	5.3509897193e+00	2.4141519081e-01	4.9543814034e+00	5.6164835166e+00
21	5.3837281724e+00	2.3442117653e-01	4.9657354397e+00	5.6349654352e+00
22	5.4437921302e+00	2.0294066854e-01	4.9718848329e+00	5.6479394300e+00
23	5.4719728155e+00	1.9501239790e-01	4.9992171742e+00	5.6615657743e+00
24	5.4908878154e+00	1.9888329658e-01	5.0121989446e+00	5.6775359233e+00
25	5.5030726750e+00	2.0011883389e-01	5.0251906390e+00	5.6892957284e+00
26	5.5214355822e+00	1.9482609178e-01	5.0533144113e+00	5.6987893949e+00
27	5.5364581445e+00	1.9898347433e-01	5.0619311509e+00	5.7148769953e+00
28	5.5552403177e+00	1.8782020067e-01	5.1153416612e+00	5.7160926296e+00
29	5.5655892196e+00	1.8962597765e-01	5.1156920893e+00	5.7208151078e+00
30	5.5759709438e+00	1.9068775129e-01	5.1278164652e+00	5.7408541166e+00
31	5.5841163942e+00	1.9064547711e-01	5.1340714536e+00	5.7558242976e+00
32	5.6021267485e+00	1.8273828668e-01	5.1453163606e+00	5.7607223531e+00
33	5.6089519859e+00	1.8508322484e-01	5.1471866772e+00	5.7726201291e+00
34	5.6197252452e+00	1.8732808094e-01	5.1490453871e+00	5.7909532879e+00
35	5.6345860220e+00	1.6542610804e-01	5.2366231890e+00	5.7951694478e+00
36	5.6497583259e+00	1.7183282394e-01	5.2352673088e+00	5.7941874192e+00
37	5.6618712398e+00	1.7314219972e-01	5.2409002594e+00	5.8012983750e+00
38	5.6768264404e+00	1.7546412065e-01	5.2492852953e+00	5.8225876621e+00
39	5.6829198428e+00	1.7528109368e-01	5.2559353206e+00	5.8254745720e+00
40	5.6887534419e+00	1.7432399904e-01	5.2620545759e+00	5.8301241221e+00
41	5.6980594609e+00	1.7283531840e-01	5.2712885540e+00	5.8427663780e+00
42	5.7033244125e+00	1.7060863648e-01	5.2797401577e+00	5.8414357180e+00
43	5.7109388995e+00	1.6453608738e-01	5.3007039198e+00	5.8469598584e+00
44	5.7189543196e+00	1.5994052549e-01	5.3204874008e+00	5.8481588425e+00
45	5.7477562130e+00	1.6605479402e-01	5.3214941692e+00	5.8593873032e+00
46	5.7512902914e+00	1.6393187241e-01	5.3314495755e+00	5.8621978602e+00
47	5.7544900549e+00	1.6411603250e-01	5.3319181430e+00	5.8648539507e+00
48	5.7626246912e+00	1.5710553095e-01	5.3623194647e+00	5.8843324436e+00
49	5.7914759199e+00	1.5819854470e-01	5.3677516325e+00	5.8992869111e+00
