# gen	zdt3_all_popmp40g100_seed01.out	zdt3_all_popmp40g100_seed02.out	zdt3_all_popmp40g100_seed03.out	zdt3_all_popmp40g100_seed04.out	zdt3_all_popmp40g100_seed05.out	zdt3_all_popmp40g100_seed06.out	zdt3_all_popmp40g100_seed07.out	zdt3_all_popmp40g100_seed08.out	zdt3_all_popmp40g100_seed09.out	zdt3_all_popmp40g100_seed099.out
1	2.9944521816e+00	2.6981152159e+00	3.2049515438e+00	3.0874159254e+00	3.1348182208e+00	3.2569371332e+00	3.3112971958e+00	3.0407704275e+00	3.3181875914e+00	3.2865429439e+00
2	3.1597005096e+00	3.6145191773e+00	3.6470156042e+00	3.5306017616e+00	3.3959290230e+00	3.6460422938e+00	3.8313574508e+00	3.4881056694e+00	3.2946055215e+00	3.8646614730e+00
3	3.7188047624e+00	3.7552778413e+00	3.8343038721e+00	3.8241214788e+00	3.7531282207e+00	4.0274026260e+00	4.0314226205e+00	3.8893831118e+00	3.4594806480e+00	4.1463315438e+00
4	3.9558424576e+00	3.8595093527e+00	4.2246168447e+00	3.8447656192e+00	4.1439389872e+00	4.0286254734e+00	4.2725356120e+00	4.1834692261e+00	4.2564057420e+00	4.3997920611e+00
5	4.1733446713e+00	4.3307164229e+00	4.3831428173e+00	4.2304003122e+00	4.4373393443e+00	4.3186701458e+00	4.3317178522e+00	4.4145679166e+00	4.4510405478e+00	4.5356521838e+00
6	4.1905184585e+00	4.3685490558e+00	4.4488957326e+00	4.3533475708e+00	4.6340564100e+00	4.4802843556e+00	4.5657542782e+00	4.5012315321e+00	4.6163367518e+00	4.6824935598e+00
7	4.3330121239e+00	4.5838531086e+00	4.6042838257e+00	4.4004274118e+00	4.8243743064e+00	4.7687667501e+00	4.7904718714e+00	4.6532801001e+00	4.7814254121e+00	4.7010328032e+00
8	4.5838142454e+00	4.7196307331e+00	4.7451706654e+00	4.5036372713e+00	4.8860818146e+00	4.6482030896e+00	4.9894912976e+00	4.7209948195e+00	4.8271046085e+00	4.7950476449e+00
9	4.5375426710e+00	4.7886078209e+00	4.8555843824e+00	4.5485548975e+00	5.0713489385e+00	4.7764453204e+00	5.0341603136e+00	4.9348093334e+00	4.8611013374e+00	4.8467883295e+00
10	4.5620468792e+00	4.9341166257e+00	4.9221251415e+00	4.5963512824e+00	5.0913227693e+00	4.8951346418e+00	5.1242355845e+00	5.0350440048e+00	5.0167287275e+00	4.9724055824e+00
11	4.6601853735e+00	4.9270802702e+00	4.9591678641e+00	4.6696674454e+00	4.6206488475e+00	4.9894436194e+00	5.2187579219e+00	5.1321971149e+00	5.0548332719e+00	5.0564676324e+00
12	4.7641922804e+00	5.0309594739e+00	5.0062754751e+00	4.7518778153e+00	4.7245243623e+00	5.0316053560e+00	5.3750484982e+00	5.2178378666e+00	5.0934878555e+00	5.0989694892e+00
13	4.8171596511e+00	5.0820092017e+00	5.0560100866e+00	4.8377731823e+00	4.7490775384e+00	5.0474402799e+00	5.4018456728e+00	5.2632057195e+00	5.1823294376e+00	5.2516212601e+00
14	4.8144270721e+00	5.2040052011e+00	5.0987739749e+00	4.9477951935e+00	4.7945362023e+00	5.0756948321e+00	5.4313881431e+00	5.2991555328e+00	5.1899898314e+00	5.2582995818e+00
15	4.8610235167e+00	5.2357984039e+00	5.1430196459e+00	4.9208885401e+00	4.8324942222e+00	5.1430860333e+00	5.4451184170e+00	5.3407673606e+00	5.2346455912e+00	5.3028870458e+00
16	4.9619478378e+00	5.2651511438e+00	5.1718177418e+00	4.9691759050e+00	4.8752981351e+00	5.1939607851e+00	5.4918111011e+00	5.4177560851e+00	5.3229617034e+00	5.2672572143e+00
17	4.9861498483e+00	5.2570913734e+00	5.2448781672e+00	5.0100510050e+00	4.8799754381e+00	5.2683218286e+00	5.5261407419e+00	5.4596465561e+00	5.3294963558e+00	5.2500791867e+00
18	5.0329007733e+00	5.3144348163e+00	5.2663688444e+00	5.0161619476e+00	4.8952566338e+00	5.2868466847e+00	5.5211683903e+00	5.4826768324e+00	5.3424862173e+00	5.3328554808e+00
19	5.0439001873e+00	5.3459565196e+00	5.3731362328e+00	5.0505739117e+00	4.9311830080e+00	5.5841392784e+00	5.5760135291e+00	5.5671240390e+00	5.4799765846e+00	5.3380389092e+00
20	5.0750987328e+00	5.4009757982e+00	5.3769843602e+00	5.0574208465e+00	4.9543814034e+00	5.6164835166e+00	5.5990266702e+00	5.5683428580e+00	5.5007202550e+00	5.3604627524e+00
21	5.1559971566e+00	5.4211034993e+00	5.5168362370e+00	5.0892426372e+00	4.9657354397e+00	5.6349654352e+00	5.6170999710e+00	5.5505202728e+00	5.5127522412e+00	5.3730288336e+00
22	5.2474389071e+00	5.4419529828e+00	5.5245178356e+00	5.4928436370e+00	4.9718848329e+00	5.6479394300e+00	5.6360311000e+00	5.5637364354e+00	5.5157075738e+00	5.3958685675e+00
23	5.2979249424e+00	5.4530776591e+00	5.5325213130e+00	5.5269698403e+00	4.9992171742e+00	5.6615657743e+00	5.6479426538e+00	5.5783064815e+00	5.5197718649e+00	5.5024304517e+00
24	5.3034682358e+00	5.4723214566e+00	5.5469234939e+00	5.5507107932e+00	5.0121989446e+00	5.6775359233e+00	5.6664794917e+00	5.6085761682e+00	5.5596979930e+00	5.5109656532e+00
25	5.3006676702e+00	5.4904515650e+00	5.5764521417e+00	5.5537811299e+00	5.0251906390e+00	5.6892957284e+00	5.6790322471e+00	5.6131006758e+00	5.5681114475e+00	5.5346435053e+00
26	5.3314190522e+00	5.5113493289e+00	5.5779882851e+00	5.5760335026e+00	5.0533144113e+00	5.6987893949e+00	5.6982419540e+00	5.6361418435e+00	5.5783383750e+00	5.5527396746e+00
