# gen	hv_mean	hv_std	hv_min	hv_max
0	3.4202070734e+00	2.4030599974e-01	2.8359668621e+00	3.6905817659e+00
1	3.8973938841e+00	1.8979941718e-01	3.6107539214e+00	4.2218674364e+00
2	4.2037597392e+00	1.7221038548e-01	3.9335076241e+00	4.3876838546e+00
3	4.5105837310e+00	1.8041825295e-01	4.1460552473e+00	4.7092222094e+00
4	4.6919144477e+00	1.0953407508e-01	4.5309889190e+00	4.9210520335e+00
5	4.8525396647e+00	1.0706980231e-01	4.7188551048e+00	5.1151626920e+00
6	5.0041294018e+00	1.1037576248e-01	4.8132044604e+00	5.1892099668e+00
7	5.1294546064e+00	1.3868076055e-01	4.9129429856e+00	5.3621091959e+00
8	5.2278096438e+00	1.1426278339e-01	5.0481855189e+00	5.4318870199e+00
9	5.3338194439e+00	1.5239926139e-01	5.1502092384e+00	5.5639989966e+00
10	5.4148346554e+00	1.8626321613e-01	5.1663330074e+00	5.7228538467e+00
11	5.4823810689e+00	1.8996843500e-01	5.1970426439e+00	5.7533186193e+00
12	5.5559012724e+00	1.8289925081e-01	5.2737737115e+00	5.7779850279e+00
13	5.5884480291e+00	1.7775908749e-01	5.3399864296e+00	5.8161134681e+00
14	5.6334689141e+00	1.9365270080e-01	5.3775655027e+00	5.9642002743e+00
15	5.6787290755e+00	1.7892836857e-01	5.3854620644e+00	5.9682243007e+00
16	5.7224389209e+00	1.8944108468e-01	5.4099209752e+00	6.0250891171e+00
17	5.7213058444e+00	1.6201272905e-01	5.4525143091e+00	6.0393885654e+00
18	5.7584290291e+00	1.7220068469e-01	5.4573887054e+00	6.0623788813e+00
19	5.7947008555e+00	1.9237025791e-01	5.4979654875e+00	6.0790001612e+00
20	5.8219153027e+00	1.7200973693e-01	5.4952062179e+00	6.0984260640e+00
21	5.8307176820e+00	1.6186049473e-01	5.5287430869e+00	6.0875014156e+00
22	5.8595171217e+00	1.4308054560e-01	5.6422609187e+00	6.1183040190e+00
23	5.8676811290e+00	1.3888768937e-01	5.6547596547e+00	6.1153020155e+00
24	5.8829007991e+00	1.4506093853e-01	5.6642520073e+00	6.1308233734e+00
25	5.8898354531e+00	1.4317702018e-01	5.6851022956e+00	6.1434659542e+00
26	5.9110958830e+00	1.5218162170e-01	5.6990945640e+00	6.1641847481e+00
27	5.9195901514e+00	1.5462655702e-01	5.6946325902e+00	6.1768363928e+00
28	5.9142558685e+00	1.3565130397e-01	5.7118745366e+00	6.1102370461e+00
29	5.9315365131e+00	1.5345333418e-01	5.7211028808e+00	6.2029014662e+00
30	5.9389965927e+00	1.4885648006e-01	5.7491043066e+00	6.2022292823e+00
31	5.9540221406e+00	1.4866405221e-01	5.7523937935e+00	6.1985048803e+00
32	5.9583990329e+00	1.5140992763e-01	5.7566282403e+00	6.2118235482e+00
33	5.9602388621e+00	1.4985431744e-01	5.7754872513e+00	6.2169285038e+00
34	5.9689506825e+00	1.4948680141e-01	5.7733378093e+00	6.2172082219e+00
35	5.9690575031e+00	1.5297478951e-01	5.7658914537e+00	6.2203265767e+00
36	5.9808069003e+00	1.5014827815e-01	5.7831920902e+00	6.2234867821e+00
